,d_0*,i_0,d_0
168,12.675,1.025201613,4.9158
169,12.794,1.024697581,4.7968
170,12.823,1.024697581,4.7678
171,12.955,1.024193548,4.6358
172,12.979,1.023689516,4.6118
173,13.06,1.023689516,4.5308
174,13.167,1.022681452,4.4238
175,13.253,1.022177419,4.3378
176,13.278,1.022177419,4.3128
177,13.405,1.021169355,4.1858
178,13.43,1.020665323,4.1608
179,13.51,1.020665323,4.0808
180,13.623,1.019153226,3.9678
181,13.658,1.018649194,3.9328
182,13.783,1.017137097,3.8078
183,13.81,1.016633065,3.7808
184,13.893,1.016129032,3.6978
185,13.976,1.015625,3.6148
186,14.079,1.012600806,3.5118
187,14.149,1.01108871,3.4418
188,14.189,1.010584677,3.4018
189,14.273,1.010080645,3.3178
190,14.355,1.009072581,3.2358
191,14.459,1.005040323,3.1318
192,14.49,1.004032258,3.1008
193,14.578,1.003024194,3.0128
194,14.652,1.002016129,2.9388
195,14.761,0.995967742,2.8298
196,14.834,0.993447581,2.7568
197,14.906,0.990927419,2.6848
198,14.926,0.989415323,2.6648
199,15,0.987903226,2.5908
200,15.076,0.984879032,2.5148
201,15.147,0.981350806,2.4438
202,15.214,0.977318548,2.3768
203,15.282,0.973790323,2.3088
204,15.353,0.971270161,2.2378
205,15.425,0.967741935,2.1658
206,15.486,0.962701613,2.1048
207,15.551,0.95766129,2.0398
208,15.61,0.952116935,1.9808
209,15.662,0.944052419,1.9288
210,15.704,0.939516129,1.8868
211,15.771,0.933467742,1.8198
212,15.808,0.927923387,1.7828
213,15.872,0.924899194,1.7188
214,15.922,0.918346774,1.6688
215,15.967,0.907762097,1.6238
216,15.991,0.902217742,1.5998
217,16.046,0.900201613,1.5448
218,16.087,0.890120968,1.5038
219,16.107,0.884072581,1.4838
220,16.152,0.882560484,1.4388
221,16.187,0.876512097,1.4038
222,16.217,0.869959677,1.3738
223,16.248,0.861391129,1.3428
224,16.261,0.856854839,1.3298
225,16.292,0.855846774,1.2988
226,16.317,0.853326613,1.2738
227,16.338,0.847782258,1.2528
228,16.36,0.842237903,1.2308
229,16.38,0.837197581,1.2108
230,16.406,0.826108871,1.1848
231,16.411,0.825100806,1.1798
232,16.429,0.825100806,1.1618
233,16.454,0.825604839,1.1368
234,16.48,0.821068548,1.1108
235,16.498,0.814516129,1.0928
236,16.515,0.808467742,1.0758
237,16.533,0.803427419,1.0578
238,16.556,0.799395161,1.0348
239,16.576,0.793346774,1.0148
240,16.596,0.787802419,0.9948
241,16.616,0.782762097,0.9748
242,16.635,0.777217742,0.9558
243,16.662,0.763608871,0.9288
244,16.665,0.762096774,0.9258
245,16.704,0.760584677,0.8868
246,16.71,0.758568548,0.8808
247,16.739,0.750504032,0.8518
248,16.746,0.746471774,0.8448
249,16.778,0.741431452,0.8128
250,16.784,0.73891129,0.8068
251,16.797,0.737399194,0.7938
252,16.836,0.720766129,0.7548
