,d_0*,i_0,d_0
214,12.857,1.04962406,4.9624
215,12.915,1.050626566,4.9044
216,12.976,1.051629073,4.8434
217,13.036,1.053132832,4.7834
218,13.092,1.054636591,4.7274
219,13.141,1.056641604,4.6784
220,13.218,1.057142857,4.6014
221,13.282,1.058646617,4.5374
222,13.34,1.059649123,4.4794
223,13.4,1.060651629,4.4194
224,13.492,1.064661654,4.3274
225,13.514,1.06566416,4.3054
226,13.574,1.066666667,4.2454
227,13.636,1.068170426,4.1834
228,13.705,1.068671679,4.1144
229,13.766,1.070175439,4.0534
230,13.853,1.074185464,3.9664
231,13.88,1.07518797,3.9394
232,13.942,1.075689223,3.8774
233,14.012,1.076691729,3.8074
234,14.069,1.078195489,3.7504
235,14.129,1.079699248,3.6904
236,14.193,1.081203008,3.6264
237,14.252,1.08320802,3.5674
238,14.313,1.085213033,3.5064
239,14.377,1.087218045,3.4424
240,14.43,1.090225564,3.3894
241,14.473,1.09273183,3.3464
242,14.564,1.093734336,3.2554
243,14.615,1.097243108,3.2044
244,14.653,1.099749373,3.1664
245,14.745,1.100250627,3.0744
246,14.808,1.102255639,3.0114
247,14.869,1.104260652,2.9504
248,14.929,1.106766917,2.8904
249,14.989,1.10877193,2.8304
250,15.05,1.111278195,2.7694
251,15.111,1.113283208,2.7084
252,15.168,1.116290727,2.6514
253,15.225,1.118796992,2.5944
254,15.284,1.120300752,2.5354
255,15.351,1.122305764,2.4684
256,15.411,1.124310777,2.4084
257,15.466,1.126315789,2.3534
258,15.519,1.127819549,2.3004
259,15.582,1.129824561,2.2374
260,15.642,1.131829574,2.1774
261,15.703,1.133333333,2.1164
262,15.761,1.134837093,2.0584
263,15.814,1.136340852,2.0054
264,15.871,1.136842105,1.9484
265,15.93,1.137844612,1.8894
266,15.986,1.137844612,1.8334
267,16.062,1.137844612,1.7574
268,16.086,1.137343358,1.7334
269,16.151,1.136340852,1.6684
270,16.215,1.13433584,1.6044
271,16.267,1.131829574,1.5524
272,16.326,1.128822055,1.4934
273,16.38,1.125313283,1.4394
274,16.441,1.120802005,1.3784
275,16.501,1.114285714,1.3184
276,16.559,1.10726817,1.2604
277,16.619,1.098746867,1.2004
278,16.683,1.088220551,1.1364
279,16.746,1.07518797,1.0734
280,16.811,1.061152882,1.0084
281,16.876,1.044110276,0.9434
282,16.938,1.022556391,0.8814
283,16.994,1,0.8254
284,17.051,0.992481203,0.7684
285,17.131,0.944862155,0.6884
286,17.171,0.93433584,0.6484
287,17.234,0.900250627,0.5854
288,17.259,0.884210526,0.5604
289,17.308,0.872180451,0.5114
290,17.334,0.847117794,0.4854
291,17.355,0.82556391,0.4644
292,17.374,0.811027569,0.4454
293,17.38,0.80952381,0.4394
294,17.396,0.80802005,0.4234
295,17.418,0.803508772,0.4014
296,17.451,0.766917293,0.3684
297,17.4662,0.744862155,0.3532
298,17.4812,0.722807018,0.3382
299,17.4958,0.71679198,0.3236
300,17.5106,0.702756892,0.3088
301,17.525,0.676691729,0.2944
302,17.5384,0.668671679,0.281
303,17.5516,0.661654135,0.2678
304,17.5646,0.648120301,0.2548
305,17.577,0.62406015,0.2424
306,17.5884,0.611528822,0.231
307,17.5994,0.611027569,0.22
308,17.6104,0.6,0.209
309,17.6208,0.588972431,0.1986
310,17.6308,0.578446115,0.1886
311,17.6406,0.568922306,0.1788
312,17.6498,0.558897243,0.1696
313,17.6586,0.550877193,0.1608
314,17.667,0.538847118,0.1524
315,17.675,0.531328321,0.1444
316,17.6826,0.521804511,0.1368
317,17.6898,0.513283208,0.1296
318,17.6968,0.506265664,0.1226
319,17.7032,0.498696742,0.1162
320,17.7094,0.490776942,0.11
321,17.7154,0.483308271,0.104
322,17.721,0.4760401,0.0984
323,17.7262,0.471929825,0.0932
324,17.7314,0.462606516,0.088
325,17.736,0.45593985,0.0834
326,17.7404,0.451177945,0.079
327,17.7446,0.446165414,0.0748
328,17.7484,0.438746867,0.071
329,17.752,0.434135338,0.0674
330,17.7554,0.429072682,0.064
331,17.7586,0.425714286,0.0608
332,17.7616,0.421353383,0.0578
333,17.7644,0.415338346,0.055
334,17.767,0.413182957,0.0524
335,17.7694,0.410877193,0.05
336,17.7716,0.405814536,0.0478
337,17.7738,0.405012531,0.0456
338,17.7758,0.401353383,0.0436
339,17.7776,0.398496241,0.0418
340,17.7794,0.396240602,0.04
341,17.781,0.39433584,0.0384
342,17.7826,0.39273183,0.0368
343,17.7842,0.39122807,0.0352
344,17.7856,0.386516291,0.0338
345,17.787,0.386065163,0.0324
346,17.7882,0.385112782,0.0312
347,17.7896,0.381704261,0.0298
348,17.7908,0.379699248,0.0286
349,17.792,0.380651629,0.0274
350,17.7932,0.378546366,0.0262
351,17.7942,0.376842105,0.0252
352,17.7954,0.376340852,0.024
353,17.7966,0.374285714,0.0228
354,17.7976,0.370025063,0.0218
355,17.7986,0.372932331,0.0208
356,17.7996,0.370927318,0.0198
357,17.8006,0.36952381,0.0188
358,17.8016,0.369824561,0.0178
359,17.8026,0.368320802,0.0168
360,17.8036,0.366165414,0.0158
361,17.8046,0.367568922,0.0148
362,17.8054,0.364260652,0.014
363,17.8064,0.363508772,0.013
364,17.8072,0.36406015,0.0122
365,17.8082,0.362255639,0.0112
366,17.809,0.361052632,0.0104
367,17.81,0.36160401,0.0094
368,17.8108,0.360601504,0.0086
369,17.8116,0.359498747,0.0078
370,17.8126,0.360401003,0.0068
371,17.8134,0.360200501,0.006
372,17.8142,0.359097744,0.0052
373,17.815,0.360350877,0.0044
374,17.816,0.36,0.0034
375,17.8168,0.359649123,0.0026
376,17.8176,0.360200501,0.0018
377,17.8184,0.360250627,0.001
378,17.8194,0.360401003,0
