,d_0*,i_0,d_0
223,13.295,1.060409386,4.3104
224,13.321,1.061407888,4.2844
225,13.391,1.061907139,4.2144
226,13.459,1.062905642,4.1464
227,13.519,1.063904144,4.0864
228,13.577,1.065401897,4.0284
229,13.666,1.069895157,3.9394
230,13.688,1.07089366,3.9174
231,13.758,1.071392911,3.8474
232,13.814,1.073389915,3.7914
233,13.871,1.07538692,3.7344
234,13.949,1.076385422,3.6564
235,14.008,1.077883175,3.5974
236,14.062,1.07988018,3.5434
237,14.126,1.081377933,3.4794
238,14.188,1.083374938,3.4174
239,14.248,1.085371942,3.3574
241,14.329,1.092860709,3.2764
242,14.382,1.092860709,3.2234
243,14.453,1.09335996,3.1524
244,14.509,1.095356965,3.0964
245,14.564,1.098851722,3.0414
246,14.618,1.101347978,2.9874
247,14.696,1.10234648,2.9094
248,14.758,1.104842736,2.8474
249,14.818,1.107838243,2.7874
250,14.905,1.115826261,2.7004
251,14.929,1.116824763,2.6764
252,14.994,1.117823265,2.6114
253,15.058,1.120319521,2.5474
254,15.11,1.125312032,2.4954
255,15.158,1.12880679,2.4474
256,15.233,1.130803794,2.3724
257,15.288,1.134298552,2.3174
258,15.347,1.138292561,2.2584
259,15.403,1.14228657,2.2024
260,15.482,1.152770844,2.1234
261,15.501,1.154268597,2.1044
262,15.559,1.15576635,2.0464
263,15.617,1.158761857,1.9884
264,15.672,1.16425362,1.9334
265,15.721,1.169246131,1.8844
266,15.776,1.174238642,1.8294
267,15.822,1.179231153,1.7834
268,15.875,1.184722916,1.7304
269,15.918,1.190214678,1.6874
270,15.968,1.195207189,1.6374
271,16.018,1.201198203,1.5874
272,16.061,1.210683974,1.5444
273,16.088,1.217174239,1.5174
274,16.149,1.218671992,1.4564
275,16.194,1.22666001,1.4114
276,16.226,1.234148777,1.3794
277,16.263,1.240639041,1.3424
278,16.301,1.246630055,1.3044
279,16.337,1.253619571,1.2684
280,16.372,1.260109835,1.2334
281,16.4,1.268097853,1.2054
282,16.429,1.274088867,1.1764
283,16.455,1.28007988,1.1504
284,16.483,1.286070894,1.1224
285,16.503,1.292061907,1.1024
286,16.531,1.307039441,1.0744
287,16.5462,1.309535696,1.0592
288,16.5612,1.314528208,1.0442
289,16.5762,1.319021468,1.0292
290,16.591,1.323514728,1.0144
291,16.6056,1.327508737,0.9998
292,16.6202,1.331003495,0.9852
293,16.6348,1.334997504,0.9706
294,16.649,1.338492262,0.9564
295,16.6632,1.342985522,0.9422
296,16.6774,1.345481777,0.928
297,16.6912,1.348976535,0.9142
298,16.7052,1.354967549,0.9002
299,16.7188,1.356964553,0.8866
300,16.7324,1.358462307,0.873
301,16.7458,1.361957064,0.8596
302,16.7564,1.364952571,0.849
303,16.7668,1.367448827,0.8386
304,16.7772,1.369445831,0.8282
305,16.7876,1.371442836,0.8178
306,16.7976,1.373939091,0.8078
307,16.8078,1.375936096,0.7976
308,16.8176,1.3779331,0.7878
309,16.8276,1.379930105,0.7778
310,16.8374,1.381427858,0.768
311,16.847,1.382925612,0.7584
312,16.8566,1.384922616,0.7488
313,16.8662,1.386420369,0.7392
314,16.8756,1.387918123,0.7298
315,16.885,1.389915127,0.7204
316,16.8942,1.391412881,0.7112
317,16.9034,1.392910634,0.702
318,16.9126,1.393909136,0.6928
319,16.9216,1.39540689,0.6838
320,16.9306,1.396904643,0.6748
321,16.9396,1.398402396,0.6658
322,16.9484,1.399400899,0.657
323,16.9572,1.400898652,0.6482
324,16.966,1.401897154,0.6394
325,16.9746,1.402895657,0.6308
326,16.9832,1.403894159,0.6222
327,16.9918,1.405391912,0.6136
328,17.0002,1.405891163,0.6052
329,17.0086,1.406889666,0.5968
330,17.017,1.407888168,0.5884
331,17.0254,1.40888667,0.58
332,17.0336,1.409885172,0.5718
333,17.0418,1.410384423,0.5636
334,17.05,1.410883674,0.5554
335,17.0582,1.411882177,0.5472
336,17.0664,1.412381428,0.539
337,17.0744,1.41337993,0.531
338,17.0824,1.41337993,0.523
339,17.0904,1.414378432,0.515
