,d_0*,i_0,d_0
340,17.0984,1.414877683,0.507
341,17.1064,1.415376935,0.499
342,17.1142,1.415876186,0.4912
343,17.1222,1.415876186,0.4832
344,17.13,1.416375437,0.4754
345,17.1378,1.416874688,0.4676
346,17.1458,1.416874688,0.4596
347,17.1536,1.416874688,0.4518
348,17.1614,1.417373939,0.444
349,17.1692,1.417373939,0.4362
350,17.177,1.417373939,0.4284
351,17.1848,1.417373939,0.4206
352,17.1926,1.417373939,0.4128
353,17.2004,1.417373939,0.405
354,17.2082,1.416874688,0.3972
355,17.216,1.416874688,0.3894
356,17.2238,1.416874688,0.3816
357,17.2316,1.416375437,0.3738
358,17.2394,1.416375437,0.366
359,17.2474,1.415876186,0.358
360,17.2552,1.415376935,0.3502
361,17.2632,1.415376935,0.3422
362,17.271,1.414877683,0.3344
363,17.279,1.413879181,0.3264
364,17.287,1.41337993,0.3184
365,17.295,1.412880679,0.3104
366,17.303,1.411882177,0.3024
367,17.3112,1.411382926,0.2942
368,17.3194,1.410384423,0.286
369,17.3304,1.409385921,0.275
370,17.3414,1.407388917,0.264
371,17.3524,1.405891163,0.253
372,17.3638,1.40439341,0.2416
373,17.375,1.402396405,0.2304
374,17.3866,1.400399401,0.2188
375,17.398,1.398402396,0.2074
376,17.4098,1.395906141,0.1956
377,17.4216,1.392910634,0.1838
378,17.4334,1.389915127,0.172
379,17.4456,1.386420369,0.1598
380,17.4578,1.383424863,0.1476
381,17.4702,1.379430854,0.1352
382,17.4828,1.374937594,0.1226
383,17.4956,1.370943585,0.1098
384,17.5086,1.366450325,0.0968
385,17.5218,1.360958562,0.0836
386,17.5352,1.3554668,0.0702
387,17.5488,1.349975037,0.0566
388,17.5626,1.343484773,0.0428
389,17.5766,1.337493759,0.0288
390,17.591,1.330504244,0.0144
391,17.6054,1.323015477,0
