,d_0*,i_0,d_0
395,17.0348,1.571570577,0.5974
396,17.0374,1.57306163,0.5948
397,17.04,1.575049702,0.5922
398,17.0426,1.577534791,0.5896
399,17.0452,1.579025845,0.587
400,17.0478,1.581013917,0.5844
401,17.0502,1.583001988,0.582
402,17.0528,1.585487078,0.5794
403,17.0554,1.586978131,0.5768
404,17.058,1.588966203,0.5742
405,17.0604,1.591451292,0.5718
406,17.063,1.592942346,0.5692
407,17.0656,1.594930417,0.5666
408,17.068,1.596421471,0.5642
409,17.0706,1.597912525,0.5616
410,17.073,1.599900596,0.5592
411,17.0756,1.602385686,0.5566
412,17.078,1.60387674,0.5542
413,17.0806,1.606361829,0.5516
414,17.083,1.608349901,0.5492
415,17.0856,1.609840954,0.5466
416,17.088,1.612326044,0.5442
417,17.0906,1.613817097,0.5416
418,17.093,1.615805169,0.5392
419,17.0954,1.617793241,0.5368
420,17.098,1.62027833,0.5342
421,17.1004,1.621769384,0.5318
422,17.1028,1.623757455,0.5294
423,17.1054,1.626242545,0.5268
424,17.1078,1.627733598,0.5244
425,17.1102,1.62972167,0.522
426,17.1126,1.632206759,0.5196
427,17.115,1.633697813,0.5172
428,17.1176,1.636182903,0.5146
429,17.12,1.638170974,0.5122
430,17.1224,1.639662028,0.5098
431,17.1248,1.642644135,0.5074
432,17.1272,1.644135189,0.505
433,17.1296,1.64612326,0.5026
434,17.132,1.648111332,0.5002
435,17.1344,1.650596421,0.4978
436,17.1368,1.651590457,0.4954
437,17.1392,1.655069583,0.493
438,17.1416,1.656560636,0.4906
439,17.144,1.659542744,0.4882
440,17.1462,1.662524851,0.486
441,17.1486,1.663518887,0.4836
442,17.151,1.665506958,0.4812
443,17.1534,1.667992048,0.4788
444,17.1558,1.669483101,0.4764
445,17.158,1.671968191,0.4742
446,17.1604,1.673956262,0.4718
447,17.1628,1.675944334,0.4694
448,17.1652,1.679423459,0.467
449,17.1674,1.680417495,0.4648
450,17.1698,1.682405567,0.4624
451,17.1722,1.685387674,0.46
452,17.1744,1.687375746,0.4578
453,17.1768,1.689860835,0.4554
454,17.179,1.690854871,0.4532
455,17.1814,1.693836978,0.4508
456,17.1836,1.696322068,0.4486
457,17.186,1.698310139,0.4462
458,17.1882,1.700795229,0.444
459,17.1906,1.702286282,0.4416
460,17.1928,1.70526839,0.4394
461,17.195,1.707753479,0.4372
462,17.1974,1.710238569,0.4348
463,17.1996,1.711729622,0.4326
464,17.2018,1.71471173,0.4304
465,17.2042,1.717196819,0.428
466,17.2064,1.719184891,0.4258
467,17.2086,1.721172962,0.4236
468,17.211,1.723658052,0.4212
469,17.2132,1.726640159,0.419
470,17.2154,1.728628231,0.4168
471,17.2176,1.732107356,0.4146
472,17.2198,1.733101392,0.4124
473,17.222,1.735586481,0.4102
474,17.2242,1.738568588,0.408
475,17.2264,1.741550696,0.4058
476,17.2288,1.744035785,0.4034
477,17.231,1.746520875,0.4012
478,17.2332,1.748508946,0.399
479,17.2354,1.751988072,0.3968
480,17.2374,1.753479125,0.3948
481,17.2396,1.756461233,0.3926
482,17.2418,1.758946322,0.3904
483,17.244,1.761928429,0.3882
